GEO.id,GEO.id2,GEO.display-label,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!In married-couple families:,Margin of Error!!Total:!!In married-couple families:,Estimate!!Total:!!In married-couple families:!!Under 3 years,Margin of Error!!Total:!!In married-couple families:!!Under 3 years,Estimate!!Total:!!In married-couple families:!!3 and 4 years,Margin of Error!!Total:!!In married-couple families:!!3 and 4 years,Estimate!!Total:!!In married-couple families:!!5 years,Margin of Error!!Total:!!In married-couple families:!!5 years,Estimate!!Total:!!In married-couple families:!!6 to 11 years,Margin of Error!!Total:!!In married-couple families:!!6 to 11 years,Estimate!!Total:!!In married-couple families:!!12 to 17 years,Margin of Error!!Total:!!In married-couple families:!!12 to 17 years,Estimate!!Total:!!In other families:,Margin of Error!!Total:!!In other families:,"Estimate!!Total:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!Under 3 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!Under 3 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!3 and 4 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!3 and 4 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!5 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!5 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!6 to 11 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!6 to 11 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!12 to 17 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!12 to 17 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!Under 3 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!Under 3 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!3 and 4 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!3 and 4 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!5 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!5 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!6 to 11 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!6 to 11 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!12 to 17 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!12 to 17 years"
0600000US0900100000,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900104720,900104720,"Bethel town, Fairfield County, Connecticut",4224,519,2937,385,472,186,365,143,69,40,1040,227,991,212,1287,674,778,718,165,170,28,32,0,20,349,421,236,190,509,259,10,18,0,20,10,18,115,139,374,235
0600000US0900108070,900108070,"Bridgeport town, Fairfield County, Connecticut",29120,1226,14587,1356,1955,417,1835,391,745,369,4796,582,5256,665,14533,1155,3017,592,568,222,387,134,189,104,1154,362,719,242,11516,1103,1976,500,1081,340,576,230,4071,483,3812,534
0600000US0900108980,900108980,"Brookfield town, Fairfield County, Connecticut",3662,315,3288,342,583,199,251,100,121,80,1168,290,1165,255,374,202,34,35,0,20,0,20,0,20,15,25,19,22,340,200,40,60,0,20,10,16,134,90,156,112
0600000US0900118500,900118500,"Danbury town, Fairfield County, Connecticut",14859,1011,10234,862,1799,308,1105,260,511,159,3560,451,3259,631,4625,731,1096,513,332,183,137,81,32,27,357,245,238,169,3529,647,641,231,318,156,77,61,1378,368,1115,305
0600000US0900118850,900118850,"Darien town, Fairfield County, Connecticut",6919,490,6386,473,795,135,556,149,332,81,2400,306,2303,321,533,197,170,75,0,24,12,19,0,24,32,25,126,66,363,168,12,19,13,20,34,47,177,116,127,75
0600000US0900123890,900123890,"Easton town, Fairfield County, Connecticut",1551,240,1344,236,107,60,64,44,60,45,416,120,697,171,207,140,14,21,0,18,0,18,0,18,10,15,4,6,193,139,0,18,3,7,0,18,23,35,167,138
0600000US0900126620,900126620,"Fairfield town, Fairfield County, Connecticut",13837,672,11815,652,1710,265,1274,203,522,158,3535,479,4774,482,2022,338,534,143,36,33,38,32,21,19,172,71,267,95,1488,337,54,49,27,21,43,48,474,185,890,212
0600000US0900133620,900133620,"Greenwich town, Fairfield County, Connecticut",15616,734,13420,682,1695,275,1235,189,902,229,5068,472,4520,392,2196,473,537,188,28,33,0,30,21,27,188,111,300,115,1659,482,84,73,38,30,87,66,421,202,1029,355
