GEO.id,GEO.id2,GEO.display-label,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!In married-couple families,Margin of Error!!Total!!In married-couple families,Estimate!!Total!!In married-couple families!!Under 3 years,Margin of Error!!Total!!In married-couple families!!Under 3 years,Estimate!!Total!!In married-couple families!!3 and 4 years,Margin of Error!!Total!!In married-couple families!!3 and 4 years,Estimate!!Total!!In married-couple families!!5 years,Margin of Error!!Total!!In married-couple families!!5 years,Estimate!!Total!!In married-couple families!!6 to 11 years,Margin of Error!!Total!!In married-couple families!!6 to 11 years,Estimate!!Total!!In married-couple families!!12 to 17 years,Margin of Error!!Total!!In married-couple families!!12 to 17 years,Estimate!!Total!!In other families,Margin of Error!!Total!!In other families,"Estimate!!Total!!In other families!!Male householder, no wife present","Margin of Error!!Total!!In other families!!Male householder, no wife present","Estimate!!Total!!In other families!!Male householder, no wife present!!Under 3 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!Under 3 years","Estimate!!Total!!In other families!!Male householder, no wife present!!3 and 4 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!3 and 4 years","Estimate!!Total!!In other families!!Male householder, no wife present!!5 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!5 years","Estimate!!Total!!In other families!!Male householder, no wife present!!6 to 11 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!6 to 11 years","Estimate!!Total!!In other families!!Male householder, no wife present!!12 to 17 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!12 to 17 years","Estimate!!Total!!In other families!!Female householder, no husband present","Margin of Error!!Total!!In other families!!Female householder, no husband present","Estimate!!Total!!In other families!!Female householder, no husband present!!Under 3 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!Under 3 years","Estimate!!Total!!In other families!!Female householder, no husband present!!3 and 4 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!3 and 4 years","Estimate!!Total!!In other families!!Female householder, no husband present!!5 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!5 years","Estimate!!Total!!In other families!!Female householder, no husband present!!6 to 11 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!6 to 11 years","Estimate!!Total!!In other families!!Female householder, no husband present!!12 to 17 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!12 to 17 years"
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",3930,282,3223,340,363,128,292,104,151,79,1229,225,1188,204,707,195,243,155,172,142,22,30,0,19,26,31,23,36,464,165,12,21,55,36,4,18,194,92,199,130
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",28997,1073,14152,990,2161,357,1555,290,848,175,4917,571,4671,499,14845,897,2116,473,352,142,399,145,66,51,655,307,644,212,12729,851,1957,312,1429,288,816,189,4523,462,4004,454
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3861,301,3330,304,482,143,244,82,233,105,1124,184,1247,226,531,262,136,147,47,74,0,19,0,19,16,26,73,73,395,208,17,28,10,16,15,24,208,126,145,85
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15832,879,11119,761,2086,316,1239,315,636,210,3977,481,3181,405,4713,718,1286,397,294,152,167,114,147,107,247,149,431,236,3427,631,600,236,294,134,162,85,953,278,1418,343
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6971,246,6390,246,845,139,605,133,254,79,2264,218,2422,248,581,150,198,92,0,22,8,13,0,22,70,73,120,59,383,120,9,13,7,12,33,32,107,65,227,80
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1711,162,1448,170,141,64,66,31,39,31,515,136,687,152,263,151,108,99,0,17,0,17,31,45,51,49,26,31,155,108,6,10,20,22,0,17,58,45,71,73
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14126,488,12710,525,1669,274,1486,171,616,140,4361,411,4578,322,1416,303,492,158,39,32,9,16,22,22,167,72,255,118,924,250,92,71,19,18,43,45,391,134,379,153
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15373,488,13133,534,1875,260,1544,168,922,199,4647,455,4145,358,2240,380,586,231,30,27,30,47,13,19,205,126,308,135,1654,347,158,98,79,60,91,79,498,177,828,202
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",4663,334,3845,441,334,141,239,102,95,82,1158,227,2019,361,818,314,152,132,0,19,0,19,0,19,108,119,44,46,666,286,0,19,0,19,125,109,268,142,273,184
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",5929,229,5358,254,454,121,593,129,266,87,2072,281,1973,301,571,203,202,140,8,15,8,14,0,22,26,26,160,129,369,130,9,15,0,22,54,69,24,29,282,107
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3027,218,2609,227,371,134,200,68,61,36,778,162,1199,234,418,212,96,97,0,19,0,19,0,19,39,48,57,51,322,199,35,38,10,15,24,33,102,107,151,96
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",6386,287,5296,368,477,142,370,111,197,90,1800,250,2452,247,1090,301,356,173,23,34,0,22,0,22,60,54,273,142,734,251,0,22,26,31,29,45,319,133,360,127
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",16798,678,12322,632,2390,347,1588,268,727,190,3779,356,3838,442,4476,571,864,253,69,65,81,73,10,16,380,125,324,159,3612,541,335,159,239,109,150,95,1290,296,1598,355
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2062,201,1766,186,258,98,193,82,93,59,457,134,765,140,296,174,34,50,0,17,0,17,0,17,16,24,18,26,262,155,36,46,0,17,0,17,53,35,173,140
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",7020,276,6230,351,525,154,535,110,239,93,2337,299,2594,265,790,253,276,172,0,22,3,12,27,25,153,130,93,83,514,195,0,22,10,15,49,70,206,97,249,102
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",6928,377,5438,417,606,138,444,141,275,95,1694,270,2419,358,1490,358,356,170,26,32,0,25,0,25,111,81,219,133,1134,309,161,106,87,80,40,48,463,187,383,147
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",699,77,662,83,32,30,48,38,8,13,258,92,316,104,37,35,8,11,0,12,0,12,0,12,8,11,0,12,29,36,0,12,0,12,0,12,6,12,23,26
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",23853,877,17787,1013,3361,411,1912,329,1080,236,6032,512,5402,556,6066,818,1472,528,235,124,202,116,120,91,562,291,353,186,4594,704,475,195,391,168,168,104,1587,420,1973,377
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",8558,494,6299,481,912,178,740,178,165,71,2142,265,2340,346,2259,350,510,153,26,34,67,52,53,47,138,65,226,98,1749,338,76,62,196,116,112,73,715,241,650,178
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",8111,452,7249,462,985,218,624,174,389,107,2420,371,2831,259,862,225,288,146,20,23,7,12,18,20,106,69,137,104,574,213,61,54,38,41,18,21,230,131,227,113
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3101,214,2882,250,187,72,223,91,291,81,1086,190,1095,187,219,97,45,43,0,19,0,19,0,19,0,19,45,43,174,89,0,19,0,19,0,19,84,52,90,57
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",7539,285,6490,337,735,168,582,114,286,87,2268,278,2619,297,1049,269,292,150,0,22,0,22,14,19,52,45,226,129,757,254,9,12,91,98,16,17,280,111,361,174
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",5260,266,4788,260,388,100,487,119,237,67,1770,177,1906,213,472,191,149,89,0,19,0,19,12,17,29,35,108,56,323,162,34,52,6,10,7,10,98,70,178,72
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",4343,237,4006,256,705,208,464,121,124,63,1250,207,1463,285,337,135,83,86,11,17,0,19,0,19,29,45,43,41,254,106,6,9,45,54,0,19,40,31,163,97
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",3911,291,3114,356,376,148,217,111,244,129,1014,221,1263,262,797,297,150,109,16,25,0,22,0,22,15,24,119,80,647,272,0,22,45,57,7,13,276,163,319,133
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",2336,309,1619,300,255,118,236,119,20,31,389,116,719,213,717,213,273,168,0,22,42,54,0,22,79,56,152,118,444,192,152,125,20,24,27,42,118,91,127,88
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",11042,530,7922,503,1236,298,611,135,251,112,2992,348,2832,349,3120,538,441,207,74,82,57,77,13,21,165,159,132,80,2679,462,281,152,178,84,74,56,1054,257,1092,278
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",2204,134,1941,144,182,65,137,60,110,53,720,129,792,144,263,124,103,90,8,13,0,17,0,17,58,73,37,37,160,82,0,17,0,17,0,17,69,54,91,57
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",2152,221,1810,256,254,105,154,76,154,79,735,182,513,158,342,200,150,115,0,19,25,38,0,19,30,53,95,97,192,161,0,19,0,19,0,19,38,58,154,119
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",1245,154,966,186,70,62,130,64,47,44,395,132,324,136,279,182,137,158,0,17,0,17,0,17,86,102,51,58,142,105,80,105,0,17,16,26,16,26,30,39
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",10006,686,5215,695,875,231,608,192,205,82,1661,251,1866,379,4791,789,852,409,357,204,132,94,27,27,237,137,99,53,3939,741,631,279,379,248,152,83,1198,275,1579,362
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",2021,354,1205,232,247,134,77,52,54,67,241,115,586,168,816,426,84,97,58,92,0,19,0,19,0,19,26,32,732,450,24,39,175,144,0,19,455,304,78,66
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",7222,376,5174,345,936,185,488,137,359,109,1514,227,1877,252,2048,319,492,190,58,56,75,56,7,13,107,66,245,125,1556,316,123,71,198,111,43,40,638,226,554,160
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",5137,236,4341,339,612,169,395,115,154,74,1466,236,1714,238,796,248,79,56,18,29,10,17,0,22,10,16,41,33,717,233,50,43,16,26,45,39,310,127,296,132
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",7751,352,6400,377,563,185,444,111,273,97,2358,290,2762,302,1351,317,526,257,0,25,35,43,0,25,211,153,280,189,825,204,31,28,55,54,10,15,273,110,456,143
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",2513,167,2200,191,312,133,114,69,68,52,704,173,1002,211,313,129,84,64,19,32,0,19,0,19,16,26,49,38,229,116,42,39,43,33,0,19,46,43,98,79
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",25026,1002,7313,826,1038,237,736,194,471,168,2404,380,2664,426,17713,1157,2028,425,299,124,348,122,41,39,783,221,557,196,15685,1084,2033,281,1853,300,965,222,5516,555,5318,560
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",391,75,326,72,42,24,20,13,12,11,105,47,147,58,65,36,13,17,3,6,3,5,3,6,0,12,4,5,52,35,0,12,0,12,0,12,20,17,32,26
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",11562,796,7093,573,1535,304,907,195,431,167,2218,394,2002,289,4469,896,489,193,162,105,55,60,57,63,165,108,50,52,3980,880,480,276,592,256,296,185,1417,429,1195,254
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",1311,145,1175,161,115,82,178,79,88,69,256,109,538,156,136,87,89,77,0,17,0,17,0,17,40,49,49,50,47,55,0,17,14,23,0,17,0,17,33,52
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",14847,785,6374,687,954,209,703,179,232,108,2406,417,2079,313,8473,819,1160,373,222,118,169,95,36,34,422,225,311,141,7313,825,1251,267,546,191,353,114,2544,457,2619,419
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",5341,311,4402,375,769,156,369,96,128,66,1643,250,1493,301,939,224,154,87,0,25,11,18,0,25,65,56,78,55,785,187,47,44,87,70,28,43,153,76,470,134
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",3068,293,2015,284,378,140,370,133,145,81,585,158,537,184,1053,353,230,165,0,19,0,19,0,19,30,51,200,166,823,338,79,63,49,74,65,77,355,197,275,136
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",3282,294,2324,291,380,148,293,116,201,99,640,160,810,196,958,345,95,101,0,22,0,22,24,37,29,32,42,66,863,335,117,100,60,75,52,56,433,207,201,133
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",5704,217,5216,222,549,186,438,103,221,95,1967,209,2041,250,488,177,163,75,10,16,0,22,11,16,54,43,88,50,325,175,14,21,0,22,0,22,79,48,232,169
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",8498,371,7085,373,1304,223,711,144,320,128,2451,342,2299,290,1413,341,302,159,50,60,0,25,31,33,90,68,131,89,1111,297,101,68,46,47,0,25,408,173,556,155
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",5426,342,4741,343,660,164,382,105,278,67,1765,196,1656,286,685,230,153,89,0,22,24,36,6,9,27,33,96,68,532,201,6,9,10,11,10,16,82,53,424,181
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",2762,198,2080,293,283,117,296,117,71,48,552,148,878,184,682,234,141,117,0,19,8,12,0,19,7,11,126,110,541,223,20,31,46,54,32,46,92,59,351,249
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",13699,486,10793,427,1499,208,999,163,559,124,3834,337,3902,287,2906,506,731,286,30,33,20,32,31,37,187,102,463,215,2175,465,91,73,150,71,68,48,872,248,994,289
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",4703,308,3734,316,664,160,528,143,147,67,1230,237,1165,205,969,250,122,84,18,27,27,35,0,22,41,41,36,30,847,246,0,22,113,70,0,22,365,157,369,123
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",4945,353,3908,359,753,197,414,169,170,84,1231,195,1340,266,1037,282,383,201,5,9,18,27,0,22,181,114,179,110,654,209,32,28,19,22,22,24,174,72,407,159
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",1965,225,1548,196,211,106,160,95,136,88,595,134,446,146,417,234,61,62,0,19,0,19,0,19,25,28,36,41,356,233,51,78,22,26,0,19,142,147,141,101
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",764,124,637,133,42,43,16,21,7,12,229,99,343,89,127,68,94,60,0,12,0,12,0,12,46,44,48,45,33,31,0,12,0,12,0,12,0,12,33,31
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",665,79,524,89,36,27,26,31,15,16,210,75,237,75,141,79,44,46,0,12,8,14,7,13,7,11,22,22,97,59,0,12,17,18,16,16,46,35,18,21
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",216,47,177,36,19,15,12,10,5,6,59,25,82,21,39,33,3,5,0,12,0,12,0,12,0,12,3,5,36,33,0,12,0,12,0,12,8,11,28,30
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",164,58,145,55,22,15,24,15,5,6,17,12,77,41,19,16,12,12,2,4,4,6,0,12,0,12,6,7,7,10,0,12,4,5,0,12,3,5,0,12
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",247,65,221,65,11,10,30,18,16,11,54,30,110,47,26,18,9,14,0,12,5,7,0,12,4,8,0,12,17,16,0,12,0,12,0,12,13,15,4,6
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",309,78,250,74,10,11,13,10,14,8,115,46,98,53,59,43,17,14,3,5,0,12,0,12,2,4,12,12,42,42,0,12,0,12,0,12,23,28,19,16
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",456,110,447,110,69,36,21,25,25,24,112,50,220,110,9,15,9,15,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",1070,157,988,168,92,61,67,37,52,51,424,139,353,139,82,63,74,63,0,17,0,17,0,17,11,17,63,51,8,13,0,17,0,17,0,17,8,13,0,17
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",478,120,436,123,70,45,32,40,29,25,112,57,193,96,42,34,17,18,9,14,0,12,0,12,8,12,0,12,25,31,4,8,0,12,0,12,18,27,3,7
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",1414,128,1179,152,173,75,87,36,47,31,351,109,521,158,235,125,154,120,2,4,0,17,7,12,74,72,71,58,81,49,25,27,12,16,0,17,33,34,11,12
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",444,72,416,74,81,51,39,22,4,7,114,44,178,53,28,21,6,10,6,10,0,12,0,12,0,12,0,12,22,18,0,12,5,7,0,12,4,8,13,11
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",1638,257,1506,272,72,59,133,86,31,33,591,217,679,159,132,100,51,62,0,17,0,17,0,17,23,38,28,48,81,83,40,67,0,17,0,17,13,21,28,33
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",4980,302,4332,334,475,136,335,130,255,141,1599,315,1668,268,648,215,134,90,5,7,0,22,0,22,51,57,78,65,514,189,32,32,43,43,0,22,142,95,297,143
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",238,67,181,61,3,5,4,5,3,6,45,23,126,47,57,42,3,5,0,12,0,12,0,12,3,5,0,12,54,43,23,22,0,12,8,12,20,20,3,5
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",458,119,296,102,0,12,73,43,33,51,108,60,82,41,162,91,69,63,11,17,10,16,0,12,19,23,29,34,93,74,10,16,0,12,0,12,29,25,54,47
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",1967,206,1485,220,250,140,227,83,48,43,511,153,449,142,482,177,133,94,25,34,0,19,36,31,33,32,39,47,349,154,45,48,15,18,0,19,86,95,203,106
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",420,64,400,69,7,8,23,18,11,10,116,44,243,44,20,24,0,12,0,12,0,12,0,12,0,12,0,12,20,24,0,12,0,12,0,12,8,11,12,14
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",459,126,374,120,42,54,48,57,10,16,142,64,132,66,85,64,30,32,0,12,11,15,0,12,0,12,19,19,55,55,0,12,0,12,0,12,21,22,34,38
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",273,95,245,83,25,25,41,30,15,22,112,66,52,51,28,44,0,12,0,12,0,12,0,12,0,12,0,12,28,44,0,12,0,12,0,12,0,12,28,44
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",1365,178,1126,184,150,90,36,31,41,32,428,144,471,133,239,115,101,90,15,23,0,17,0,17,72,88,14,22,138,91,0,17,18,21,0,17,73,51,47,39
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",6109,393,3947,341,472,141,473,135,283,89,1240,232,1479,238,2162,391,693,193,154,61,52,43,32,28,261,76,194,103,1469,337,168,89,146,75,90,68,593,214,472,172
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",266,45,236,44,23,12,14,9,10,8,93,25,96,30,30,23,23,22,0,12,0,12,4,5,9,11,10,11,7,7,0,12,0,12,0,12,3,4,4,5
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",441,132,399,133,30,21,70,51,17,20,135,77,147,82,42,34,10,15,0,12,0,12,0,12,0,12,10,15,32,31,0,12,15,18,0,12,0,12,17,20
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",4027,381,3508,389,410,153,427,146,220,114,1080,285,1371,312,519,262,20,23,0,22,0,22,0,22,8,13,12,20,499,261,70,89,26,44,12,20,194,124,197,113
