GEO.id,GEO.id2,GEO.display-label,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!In married-couple families,Margin of Error!!Total!!In married-couple families,Estimate!!Total!!In married-couple families!!Under 3 years,Margin of Error!!Total!!In married-couple families!!Under 3 years,Estimate!!Total!!In married-couple families!!3 and 4 years,Margin of Error!!Total!!In married-couple families!!3 and 4 years,Estimate!!Total!!In married-couple families!!5 years,Margin of Error!!Total!!In married-couple families!!5 years,Estimate!!Total!!In married-couple families!!6 to 11 years,Margin of Error!!Total!!In married-couple families!!6 to 11 years,Estimate!!Total!!In married-couple families!!12 to 17 years,Margin of Error!!Total!!In married-couple families!!12 to 17 years,Estimate!!Total!!In other families,Margin of Error!!Total!!In other families,"Estimate!!Total!!In other families!!Male householder, no wife present","Margin of Error!!Total!!In other families!!Male householder, no wife present","Estimate!!Total!!In other families!!Male householder, no wife present!!Under 3 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!Under 3 years","Estimate!!Total!!In other families!!Male householder, no wife present!!3 and 4 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!3 and 4 years","Estimate!!Total!!In other families!!Male householder, no wife present!!5 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!5 years","Estimate!!Total!!In other families!!Male householder, no wife present!!6 to 11 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!6 to 11 years","Estimate!!Total!!In other families!!Male householder, no wife present!!12 to 17 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!12 to 17 years","Estimate!!Total!!In other families!!Female householder, no husband present","Margin of Error!!Total!!In other families!!Female householder, no husband present","Estimate!!Total!!In other families!!Female householder, no husband present!!Under 3 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!Under 3 years","Estimate!!Total!!In other families!!Female householder, no husband present!!3 and 4 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!3 and 4 years","Estimate!!Total!!In other families!!Female householder, no husband present!!5 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!5 years","Estimate!!Total!!In other families!!Female householder, no husband present!!6 to 11 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!6 to 11 years","Estimate!!Total!!In other families!!Female householder, no husband present!!12 to 17 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!12 to 17 years"
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",3182,313,2378,310,524,213,267,99,228,100,677,184,682,158,804,271,221,153,31,43,6,10,0,19,118,133,66,45,583,206,18,23,71,86,0,19,236,111,258,113
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",1112,245,1003,268,104,75,56,64,95,82,286,129,462,124,109,137,87,134,23,36,0,17,0,17,64,99,0,17,22,34,2,5,0,17,0,17,0,17,20,34
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",2904,262,1892,240,192,69,223,84,23,22,690,155,764,150,1012,287,277,139,29,30,31,30,43,46,60,45,114,91,735,263,77,82,88,75,10,16,293,124,267,126
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",7268,504,3818,506,574,179,481,158,122,88,1602,314,1039,233,3450,560,536,244,54,48,46,53,52,53,173,110,211,171,2914,580,446,208,273,158,179,140,956,364,1060,288
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",2962,213,2140,229,186,78,198,79,66,48,704,155,986,179,822,173,224,144,18,24,10,16,0,19,42,46,154,123,598,169,56,50,31,28,13,16,256,95,242,104
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",455,108,353,103,10,12,48,44,25,17,121,49,149,55,102,48,17,18,0,12,3,6,0,12,10,12,4,7,85,45,3,6,3,5,0,12,9,13,70,44
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",766,98,597,107,81,49,32,31,47,42,127,65,310,110,169,70,18,20,11,17,0,12,0,12,0,12,7,11,151,67,0,12,6,10,0,12,19,17,126,61
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",2894,301,1875,322,203,110,182,95,147,91,573,197,770,186,1019,372,274,155,34,38,46,52,0,19,80,73,114,83,745,359,57,51,105,82,0,19,346,232,237,125
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",393,80,299,85,45,24,49,38,24,26,90,39,91,34,94,50,59,37,0,12,0,12,0,12,13,14,46,29,35,33,0,12,0,12,0,12,14,17,21,19
0600000US0901157040,0901157040,"Old Lyme town, New London County, Connecticut",1340,145,1082,137,64,39,52,37,37,28,461,113,468,110,258,122,116,100,0,17,0,17,0,17,0,17,116,100,142,89,7,11,7,11,0,17,12,15,116,82
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",1494,145,1342,143,292,115,72,42,63,60,372,117,543,116,152,93,16,24,0,17,0,17,0,17,0,17,16,24,136,90,49,66,21,24,20,24,5,9,41,50
0600000US0900757320,0900757320,"Old Saybrook town, Middlesex County, Connecticut",1584,279,1046,271,45,33,160,80,70,62,458,168,313,109,538,274,122,96,30,40,0,19,10,16,38,52,44,46,416,263,0,19,60,57,0,19,112,108,244,197
