GEO.id,GEO.id2,GEO.display-label,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!In married-couple families:,Margin of Error!!Total:!!In married-couple families:,Estimate!!Total:!!In married-couple families:!!Under 3 years,Margin of Error!!Total:!!In married-couple families:!!Under 3 years,Estimate!!Total:!!In married-couple families:!!3 and 4 years,Margin of Error!!Total:!!In married-couple families:!!3 and 4 years,Estimate!!Total:!!In married-couple families:!!5 years,Margin of Error!!Total:!!In married-couple families:!!5 years,Estimate!!Total:!!In married-couple families:!!6 to 11 years,Margin of Error!!Total:!!In married-couple families:!!6 to 11 years,Estimate!!Total:!!In married-couple families:!!12 to 17 years,Margin of Error!!Total:!!In married-couple families:!!12 to 17 years,Estimate!!Total:!!In other families:,Margin of Error!!Total:!!In other families:,"Estimate!!Total:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!Under 3 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!Under 3 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!3 and 4 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!3 and 4 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!5 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!5 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!6 to 11 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!6 to 11 years","Estimate!!Total:!!In other families:!!Male householder, no spouse present:!!12 to 17 years","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present:!!12 to 17 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!Under 3 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!Under 3 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!3 and 4 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!3 and 4 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!5 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!5 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!6 to 11 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!6 to 11 years","Estimate!!Total:!!In other families:!!Female householder, no spouse present:!!12 to 17 years","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present:!!12 to 17 years"
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4137,411,3071,304,453,154,312,109,156,92,1179,239,971,178,1066,492,631,450,226,153,36,43,0,19,201,264,168,160,435,196,15,29,55,42,2,18,164,95,199,157
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",28032,1057,13533,1037,1800,332,1656,270,528,173,5009,536,4540,499,14499,1058,2541,440,405,173,407,140,131,69,923,231,675,201,11958,1036,1891,352,1222,277,641,198,4319,519,3885,468
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3609,349,3198,369,491,155,258,95,172,85,1074,198,1203,239,411,153,38,36,0,19,0,19,0,19,16,25,22,25,373,152,17,27,0,19,17,28,176,102,163,85
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15010,823,9976,760,1792,319,1062,275,598,174,3652,507,2872,454,5034,675,1183,378,431,151,231,114,123,88,250,127,148,89,3851,653,715,234,317,140,105,73,1460,335,1254,305
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7266,238,6665,252,836,143,558,147,321,79,2408,225,2542,246,601,173,207,104,0,23,11,16,0,23,28,30,168,90,394,152,12,19,12,19,29,40,150,100,191,94
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1584,195,1450,192,119,63,78,46,32,29,529,132,692,126,134,71,12,20,0,17,0,17,0,17,6,10,6,10,122,72,0,17,15,20,0,17,33,36,74,54
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",13687,458,12048,523,1601,205,1353,198,488,131,3742,321,4864,370,1639,307,547,181,31,27,28,22,17,16,172,84,299,112,1092,278,28,27,28,23,46,51,392,159,598,154
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15305,571,13118,535,1797,246,1220,194,693,179,5012,444,4396,361,2187,391,610,212,29,27,37,54,22,25,226,112,296,125,1577,362,118,98,56,40,84,69,484,167,835,193
