GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple families:,Margin of Error; In married-couple families:,Estimate; In married-couple families: - Under 3 years,Margin of Error; In married-couple families: - Under 3 years,Estimate; In married-couple families: - 3 and 4 years,Margin of Error; In married-couple families: - 3 and 4 years,Estimate; In married-couple families: - 5 years,Margin of Error; In married-couple families: - 5 years,Estimate; In married-couple families: - 6 to 11 years,Margin of Error; In married-couple families: - 6 to 11 years,Estimate; In married-couple families: - 12 to 17 years,Margin of Error; In married-couple families: - 12 to 17 years,Estimate; In other families:,Margin of Error; In other families:,"Estimate; In other families: - Male householder, no wife present:","Margin of Error; In other families: - Male householder, no wife present:","Estimate; In other families: - Male householder, no wife present: - Under 3 years","Margin of Error; In other families: - Male householder, no wife present: - Under 3 years","Estimate; In other families: - Male householder, no wife present: - 3 and 4 years","Margin of Error; In other families: - Male householder, no wife present: - 3 and 4 years","Estimate; In other families: - Male householder, no wife present: - 5 years","Margin of Error; In other families: - Male householder, no wife present: - 5 years","Estimate; In other families: - Male householder, no wife present: - 6 to 11 years","Margin of Error; In other families: - Male householder, no wife present: - 6 to 11 years","Estimate; In other families: - Male householder, no wife present: - 12 to 17 years","Margin of Error; In other families: - Male householder, no wife present: - 12 to 17 years","Estimate; In other families: - Female householder, no husband present:","Margin of Error; In other families: - Female householder, no husband present:","Estimate; In other families: - Female householder, no husband present: - Under 3 years","Margin of Error; In other families: - Female householder, no husband present: - Under 3 years","Estimate; In other families: - Female householder, no husband present: - 3 and 4 years","Margin of Error; In other families: - Female householder, no husband present: - 3 and 4 years","Estimate; In other families: - Female householder, no husband present: - 5 years","Margin of Error; In other families: - Female householder, no husband present: - 5 years","Estimate; In other families: - Female householder, no husband present: - 6 to 11 years","Margin of Error; In other families: - Female householder, no husband present: - 6 to 11 years","Estimate; In other families: - Female householder, no husband present: - 12 to 17 years","Margin of Error; In other families: - Female householder, no husband present: - 12 to 17 years"
0400000US09,09,Connecticut,702761,2396,494964,4601,70515,1533,49791,1188,25756,879,170273,2395,178629,2536,207797,4507,40717,2042,6112,626,4205,461,1922,314,12181,802,16297,1221,167080,4182,18654,1061,17016,1042,8991,676,57441,1928,64978,2502
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",3982,274,3206,297,335,102,272,93,161,74,1229,188,1209,204,776,208,107,95,65,91,7,12,0,19,19,30,16,26,669,209,46,50,81,59,10,21,210,93,322,123
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",29475,972,14061,872,2441,368,1568,285,817,186,4826,472,4409,481,15414,959,2496,520,530,167,367,125,102,59,836,339,661,212,12918,973,1752,312,1542,272,879,222,4479,532,4266,557
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3885,335,3343,347,376,151,216,77,233,110,1161,213,1357,228,542,265,131,158,53,82,0,19,0,19,0,19,78,79,411,208,0,19,24,21,14,21,159,98,214,145
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15540,789,10672,840,2097,315,1073,246,611,178,3616,469,3275,470,4868,688,1319,470,260,145,239,151,139,102,287,142,394,228,3549,560,571,196,297,117,249,116,911,227,1521,351
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6997,263,6449,280,837,151,674,132,300,79,2205,226,2433,237,548,214,176,100,0,22,0,22,0,22,69,69,107,65,372,178,8,13,8,13,40,39,106,71,210,110
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1691,179,1439,173,163,82,63,36,34,26,522,130,657,131,252,127,123,89,6,11,0,17,27,39,49,44,41,37,129,99,7,11,18,21,0,17,30,31,74,68
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14449,365,12885,410,1708,267,1399,217,621,152,4563,349,4594,338,1564,283,483,171,23,23,0,28,45,42,183,94,232,113,1081,268,97,76,34,25,50,45,425,143,475,144
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15099,573,13218,596,1999,306,1739,217,1021,200,4493,411,3966,364,1881,322,487,147,33,32,19,31,28,35,142,81,265,103,1394,303,81,59,82,49,86,65,513,141,632,194
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",4871,297,4051,331,397,152,419,161,126,81,1112,208,1997,323,820,317,183,109,0,19,0,19,0,19,152,92,31,35,637,291,0,19,0,19,52,71,248,127,337,203
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",6119,281,5497,310,462,137,540,134,272,102,2081,255,2142,248,622,235,173,145,9,13,9,13,0,22,20,22,135,140,449,194,9,14,41,65,113,109,56,78,230,114
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3146,171,2694,218,311,108,200,82,100,50,806,160,1277,235,452,213,136,115,0,19,0,19,0,19,43,52,93,71,316,177,39,35,9,14,17,29,83,89,168,94
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",6681,352,5724,341,560,117,398,109,273,89,2002,214,2491,325,957,260,267,171,0,22,7,12,0,22,29,30,231,154,690,197,0,22,28,31,30,45,299,114,333,101
