GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple families:,Margin of Error; In married-couple families:,Estimate; In married-couple families: - Under 3 years,Margin of Error; In married-couple families: - Under 3 years,Estimate; In married-couple families: - 3 and 4 years,Margin of Error; In married-couple families: - 3 and 4 years,Estimate; In married-couple families: - 5 years,Margin of Error; In married-couple families: - 5 years,Estimate; In married-couple families: - 6 to 11 years,Margin of Error; In married-couple families: - 6 to 11 years,Estimate; In married-couple families: - 12 to 17 years,Margin of Error; In married-couple families: - 12 to 17 years,Estimate; In other families:,Margin of Error; In other families:,"Estimate; In other families: - Male householder, no wife present:","Margin of Error; In other families: - Male householder, no wife present:","Estimate; In other families: - Male householder, no wife present: - Under 3 years","Margin of Error; In other families: - Male householder, no wife present: - Under 3 years","Estimate; In other families: - Male householder, no wife present: - 3 and 4 years","Margin of Error; In other families: - Male householder, no wife present: - 3 and 4 years","Estimate; In other families: - Male householder, no wife present: - 5 years","Margin of Error; In other families: - Male householder, no wife present: - 5 years","Estimate; In other families: - Male householder, no wife present: - 6 to 11 years","Margin of Error; In other families: - Male householder, no wife present: - 6 to 11 years","Estimate; In other families: - Male householder, no wife present: - 12 to 17 years","Margin of Error; In other families: - Male householder, no wife present: - 12 to 17 years","Estimate; In other families: - Female householder, no husband present:","Margin of Error; In other families: - Female householder, no husband present:","Estimate; In other families: - Female householder, no husband present: - Under 3 years","Margin of Error; In other families: - Female householder, no husband present: - Under 3 years","Estimate; In other families: - Female householder, no husband present: - 3 and 4 years","Margin of Error; In other families: - Female householder, no husband present: - 3 and 4 years","Estimate; In other families: - Female householder, no husband present: - 5 years","Margin of Error; In other families: - Female householder, no husband present: - 5 years","Estimate; In other families: - Female householder, no husband present: - 6 to 11 years","Margin of Error; In other families: - Female householder, no husband present: - 6 to 11 years","Estimate; In other families: - Female householder, no husband present: - 12 to 17 years","Margin of Error; In other families: - Female householder, no husband present: - 12 to 17 years"
0400000US09,09,Connecticut,743849,2195,533909,4565,74447,1493,55316,1332,28434,1034,186463,2671,189249,2380,209940,4123,38050,1962,6031,739,3709,473,2001,387,11334,877,14975,996,171890,4145,19684,1098,17517,1011,8062,661,55954,1955,70673,1991
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4206,294,3457,255,523,148,364,109,178,72,1274,200,1118,178,749,256,152,142,0,19,0,19,64,105,21,26,67,61,597,212,66,58,94,77,0,19,116,60,321,148
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",31615,1160,15086,1132,2329,378,1920,341,1145,225,5248,585,4444,453,16529,1138,2535,591,487,182,195,111,229,137,979,305,645,231,13994,1123,1718,321,1556,292,749,205,5095,673,4876,501
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3821,259,3360,287,402,140,369,162,121,56,1170,256,1298,206,461,215,105,81,10,16,0,19,0,19,50,55,45,43,356,196,46,50,16,25,0,19,44,43,250,173
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",14629,650,10657,698,2126,313,1092,224,555,152,3561,466,3323,427,3972,600,767,271,353,201,106,97,15,22,170,108,123,73,3205,555,413,186,332,137,88,83,1106,338,1266,349
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7401,253,6776,290,672,125,760,129,416,112,2469,282,2459,246,625,218,74,58,7,11,0,23,0,23,12,22,55,48,551,202,11,17,7,10,16,23,174,75,343,150
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2070,148,1861,135,297,121,47,37,131,60,811,161,575,133,209,140,63,48,15,16,0,17,0,17,12,15,36,38,146,135,0,17,9,15,8,14,40,48,89,91
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14702,426,12976,440,1815,276,1374,210,651,163,4505,338,4631,368,1726,285,292,133,3,5,0,29,30,44,170,100,89,57,1434,301,59,40,72,42,32,32,528,174,743,207
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15588,478,13768,545,1849,270,1758,234,883,198,4919,416,4359,431,1820,374,423,182,11,17,60,62,47,56,119,75,186,99,1397,310,96,79,43,34,10,17,443,156,805,223
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",4864,293,4267,314,443,147,433,141,217,94,1378,219,1796,260,597,244,258,185,37,54,18,26,0,19,137,121,66,63,339,138,0,19,30,35,0,19,68,67,241,105
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",6410,287,5710,332,613,168,459,132,304,101,2067,289,2267,254,700,279,139,132,0,23,0,23,0,23,52,74,87,84,561,250,18,28,81,84,60,96,114,103,288,184
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3373,234,3117,244,198,83,253,91,197,80,1227,216,1242,194,256,104,37,43,0,19,0,19,0,19,0,19,37,43,219,103,47,39,0,19,36,28,33,31,103,69
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",7245,314,6777,289,669,138,535,134,367,121,2231,248,2975,307,468,205,111,80,16,24,9,11,0,23,12,16,74,63,357,195,54,60,0,23,0,23,20,23,283,182
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",15030,835,11184,757,2351,350,1617,262,482,152,3907,475,2827,378,3846,631,494,223,73,60,82,82,6,12,182,128,151,111,3352,538,317,131,279,132,213,137,1310,302,1233,303
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2405,205,1896,264,163,79,177,112,115,63,722,177,719,158,509,207,51,47,0,17,0,17,0,17,36,41,15,26,458,205,24,33,25,35,44,41,54,51,311,168
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",7453,289,6694,333,567,123,493,116,395,117,2595,284,2644,311,759,280,93,69,0,23,8,12,0,23,30,37,55,50,666,273,0,23,62,78,5,7,146,76,453,236
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",7433,455,6344,416,790,223,553,168,250,93,2277,318,2474,361,1089,333,296,163,22,35,16,24,14,23,128,100,116,72,793,280,34,41,111,56,0,26,157,71,491,258
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",813,95,746,100,111,51,97,61,31,32,282,96,225,95,67,48,11,17,0,12,0,12,0,12,0,12,11,17,56,52,0,12,0,12,13,19,23,25,20,32
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",25191,1040,18763,888,3639,415,2280,296,1039,188,6048,522,5757,452,6428,854,1082,304,287,140,218,136,8,11,173,88,396,170,5346,778,649,262,756,260,223,129,1459,378,2259,415
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",9574,463,7204,445,1156,265,889,190,467,138,2271,318,2421,295,2370,420,339,135,15,26,48,68,7,14,76,51,193,90,2031,412,85,83,179,108,105,76,631,211,1031,271
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",8708,345,7900,414,921,197,796,149,448,132,2672,297,3063,314,808,204,140,75,11,18,22,25,0,26,22,32,85,63,668,185,52,48,57,52,0,26,217,103,342,122
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3434,172,3226,167,215,104,194,64,171,84,1365,197,1281,184,208,124,117,109,0,19,0,19,0,19,0,19,117,109,91,62,7,12,0,19,0,19,10,17,74,57
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",7500,294,6528,365,528,114,632,143,305,92,2573,271,2490,236,972,284,149,91,0,23,19,29,0,23,34,37,96,67,823,282,76,68,92,64,61,55,335,162,259,105
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",5814,285,5406,270,562,155,558,123,363,105,1913,225,2010,258,408,142,51,40,0,19,0,19,8,14,19,22,24,25,357,138,8,14,6,10,27,23,173,109,143,85
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",4715,213,4195,226,349,124,255,96,174,68,1801,232,1616,219,520,227,74,64,0,19,12,17,0,19,21,23,41,45,446,224,21,28,32,37,34,41,183,185,176,101
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",3985,253,3382,302,371,143,398,135,232,93,1263,269,1118,229,603,213,193,127,27,25,0,23,13,21,71,53,82,72,410,195,17,21,10,17,28,33,226,139,129,76
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",2554,270,1505,312,213,112,184,101,40,36,506,184,562,156,1049,259,291,198,29,35,0,23,0,23,187,154,75,46,758,196,69,54,29,39,37,43,182,92,441,132
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",11948,528,7888,474,1184,225,851,157,429,156,2933,335,2491,339,4060,559,1123,382,283,146,106,68,84,101,351,162,299,132,2937,400,233,123,261,129,197,102,1136,270,1110,252
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",2405,157,1982,192,227,93,194,90,82,52,850,188,629,149,423,158,68,55,0,17,0,17,0,17,40,44,28,33,355,150,29,41,0,17,11,16,158,106,157,85
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",2345,175,1873,214,150,82,96,48,119,70,711,153,797,145,472,210,117,100,35,41,12,24,0,19,31,48,39,42,355,189,46,48,34,44,9,13,93,95,173,114
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",1061,178,975,174,118,79,112,61,69,49,465,163,211,99,86,75,57,68,0,17,0,17,0,17,20,35,37,47,29,33,12,20,0,17,0,17,0,17,17,26
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",9854,556,5301,525,685,160,519,187,287,114,2082,304,1728,266,4553,633,690,285,173,109,101,84,28,28,175,128,213,121,3863,634,618,204,373,160,202,118,1093,266,1577,376
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",2381,306,1654,215,189,107,105,73,73,56,727,194,560,157,727,374,124,112,33,45,14,21,0,19,52,62,25,28,603,370,118,113,159,190,0,19,79,65,247,173
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",7863,378,5796,491,637,148,638,149,187,64,2289,297,2045,291,2067,375,399,192,49,39,35,35,18,23,84,66,213,139,1668,339,61,47,128,67,82,56,521,158,876,229
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",5586,301,4910,283,641,192,493,135,348,111,1602,240,1826,236,676,211,98,58,10,16,0,23,7,12,34,30,47,43,578,200,34,28,22,26,10,14,164,107,348,127
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",8611,287,7152,333,749,170,951,189,234,85,2583,264,2635,294,1459,283,145,81,0,26,6,18,17,28,53,54,69,60,1314,266,117,72,38,43,60,55,440,178,659,181
