GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple families:,Margin of Error; In married-couple families:,Estimate; In married-couple families: - Under 3 years,Margin of Error; In married-couple families: - Under 3 years,Estimate; In married-couple families: - 3 and 4 years,Margin of Error; In married-couple families: - 3 and 4 years,Estimate; In married-couple families: - 5 years,Margin of Error; In married-couple families: - 5 years,Estimate; In married-couple families: - 6 to 11 years,Margin of Error; In married-couple families: - 6 to 11 years,Estimate; In married-couple families: - 12 to 17 years,Margin of Error; In married-couple families: - 12 to 17 years,Estimate; In other families:,Margin of Error; In other families:,"Estimate; In other families: - Male householder, no wife present:","Margin of Error; In other families: - Male householder, no wife present:","Estimate; In other families: - Male householder, no wife present: - Under 3 years","Margin of Error; In other families: - Male householder, no wife present: - Under 3 years","Estimate; In other families: - Male householder, no wife present: - 3 and 4 years","Margin of Error; In other families: - Male householder, no wife present: - 3 and 4 years","Estimate; In other families: - Male householder, no wife present: - 5 years","Margin of Error; In other families: - Male householder, no wife present: - 5 years","Estimate; In other families: - Male householder, no wife present: - 6 to 11 years","Margin of Error; In other families: - Male householder, no wife present: - 6 to 11 years","Estimate; In other families: - Male householder, no wife present: - 12 to 17 years","Margin of Error; In other families: - Male householder, no wife present: - 12 to 17 years","Estimate; In other families: - Female householder, no husband present:","Margin of Error; In other families: - Female householder, no husband present:","Estimate; In other families: - Female householder, no husband present: - Under 3 years","Margin of Error; In other families: - Female householder, no husband present: - Under 3 years","Estimate; In other families: - Female householder, no husband present: - 3 and 4 years","Margin of Error; In other families: - Female householder, no husband present: - 3 and 4 years","Estimate; In other families: - Female householder, no husband present: - 5 years","Margin of Error; In other families: - Female householder, no husband present: - 5 years","Estimate; In other families: - Female householder, no husband present: - 6 to 11 years","Margin of Error; In other families: - Female householder, no husband present: - 6 to 11 years","Estimate; In other families: - Female householder, no husband present: - 12 to 17 years","Margin of Error; In other families: - Female householder, no husband present: - 12 to 17 years"
0400000US09,09,Connecticut,715858,2097,505365,4364,70873,1412,51791,1172,25723,1000,175836,2433,181142,2512,210493,4057,39853,1769,6267,605,3862,473,2048,302,12190,831,15486,1047,170640,3792,18882,1051,17727,1017,9268,680,57963,1836,66800,2051
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4126,276,3119,306,337,117,205,73,180,83,1209,197,1188,190,1007,265,210,110,56,76,0,19,0,19,59,47,95,74,797,258,44,50,110,53,0,19,223,103,420,176
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",29867,980,13931,996,2400,373,1538,310,948,214,4851,559,4194,416,15936,1034,2433,500,474,169,311,138,91,53,923,326,634,210,13503,1030,1798,319,1782,321,911,228,4557,517,4455,460
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3968,376,3505,297,420,162,283,130,184,82,1249,242,1369,244,463,242,125,160,52,83,0,19,0,19,0,19,73,81,338,191,19,32,24,27,15,25,122,103,158,135
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15170,749,10697,714,1997,280,1049,210,534,135,3723,430,3394,429,4473,656,1189,415,231,129,192,111,114,97,275,168,377,201,3284,536,434,197,276,96,199,116,920,225,1455,350
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7141,315,6589,320,823,142,724,134,281,95,2286,271,2475,248,552,184,169,120,0,22,0,22,0,22,80,84,89,66,383,145,0,22,10,16,30,34,125,72,218,104
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",1877,162,1561,163,220,92,68,35,27,21,674,136,572,138,316,143,153,93,6,10,0,17,27,40,51,44,69,49,163,109,6,10,24,24,7,11,35,32,91,77
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14677,473,13232,491,1734,285,1545,215,660,169,4818,359,4475,330,1445,289,448,131,20,20,0,28,38,43,180,89,210,80,997,267,100,68,35,21,36,32,388,148,438,148
