GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  In married-couple families: ,Margins of Error;  In married-couple families: ,Estimate;  In married-couple families: Under 3 years ,Margins of Error;  In married-couple families: Under 3 years ,Estimate;  In married-couple families: 3 and 4 years ,Margins of Error;  In married-couple families: 3 and 4 years ,Estimate;  In married-couple families: 5 years ,Margins of Error;  In married-couple families: 5 years ,Estimate;  In married-couple families: 6 to 11 years ,Margins of Error;  In married-couple families: 6 to 11 years ,Estimate;  In married-couple families: 12 to 17 years ,Margins of Error;  In married-couple families: 12 to 17 years ,Estimate;  In other families: ,Margins of Error;  In other families: ,"Estimate;  In other families: Male householder, no wife present: ","Margins of Error;  In other families: Male householder, no wife present: ","Estimate;  In other families: Male householder, no wife present: Under 3 years ","Margins of Error;  In other families: Male householder, no wife present: Under 3 years ","Estimate;  In other families: Male householder, no wife present: 3 and 4 years ","Margins of Error;  In other families: Male householder, no wife present: 3 and 4 years ","Estimate;  In other families: Male householder, no wife present: 5 years ","Margins of Error;  In other families: Male householder, no wife present: 5 years ","Estimate;  In other families: Male householder, no wife present: 6 to 11 years ","Margins of Error;  In other families: Male householder, no wife present: 6 to 11 years ","Estimate;  In other families: Male householder, no wife present: 12 to 17 years ","Margins of Error;  In other families: Male householder, no wife present: 12 to 17 years ","Estimate;  In other families: Female householder, no husband present: ","Margins of Error;  In other families: Female householder, no husband present: ","Estimate;  In other families: Female householder, no husband present: Under 3 years ","Margins of Error;  In other families: Female householder, no husband present: Under 3 years ","Estimate;  In other families: Female householder, no husband present: 3 and 4 years ","Margins of Error;  In other families: Female householder, no husband present: 3 and 4 years ","Estimate;  In other families: Female householder, no husband present: 5 years ","Margins of Error;  In other families: Female householder, no husband present: 5 years ","Estimate;  In other families: Female householder, no husband present: 6 to 11 years ","Margins of Error;  In other families: Female householder, no husband present: 6 to 11 years ","Estimate;  In other families: Female householder, no husband present: 12 to 17 years ","Margins of Error;  In other families: Female householder, no husband present: 12 to 17 years "
0900163480,06000US0900163480,"Redding town, Fairfield County, Connecticut",2171,165,1731,187,193,86,171,84,79,46,582,125,706,122,440,159,45,43,0,17,0,17,0,17,23,29,22,28,395,157,45,52,15,23,15,23,61,45,259,115
0900163970,06000US0900163970,"Ridgefield town, Fairfield County, Connecticut",7468,293,6491,371,532,149,565,145,248,72,2664,330,2482,273,977,335,268,204,0,22,14,19,30,42,156,131,68,69,709,228,0,22,0,22,56,76,211,104,442,142
0900168170,06000US0900168170,"Shelton town, Fairfield County, Connecticut",7318,465,5897,478,582,179,464,164,322,118,1954,313,2575,402,1421,329,291,139,36,40,13,20,7,15,75,68,160,104,1130,306,119,111,155,94,0,25,346,137,510,209
0900168310,06000US0900168310,"Sherman town, Fairfield County, Connecticut",730,104,662,121,90,50,69,35,29,34,192,78,282,120,68,70,12,18,0,12,0,12,0,12,0,12,12,18,56,68,0,12,0,12,0,12,13,20,43,50
0900173070,06000US0900173070,"Stamford town, Fairfield County, Connecticut",25027,989,18686,1017,3561,406,2213,342,1231,288,5773,500,5908,500,6341,759,1047,349,304,176,82,51,49,82,218,102,394,178,5294,768,486,222,847,280,232,128,1655,399,2074,333
0900174190,06000US0900174190,"Stratford town, Fairfield County, Connecticut",9020,454,6567,459,850,203,878,178,355,124,2225,260,2259,321,2453,448,540,158,0,28,78,74,32,28,117,62,313,110,1913,429,99,89,64,48,111,89,727,263,912,308
0900177200,06000US0900177200,"Trumbull town, Fairfield County, Connecticut",8469,401,7523,417,877,165,677,144,432,125,2641,288,2896,306,946,244,156,92,14,18,15,16,5,9,32,38,90,76,790,215,88,61,61,54,21,25,248,132,372,134
0900183430,06000US0900183430,"Weston town, Fairfield County, Connecticut",3392,147,3195,160,186,83,184,73,215,78,1293,179,1317,185,197,92,100,68,0,19,0,19,0,19,0,19,100,68,97,64,12,19,0,19,0,19,40,40,45,36
0900183500,06000US0900183500,"Westport town, Fairfield County, Connecticut",7493,346,6280,358,564,123,557,122,262,90,2458,308,2439,256,1213,337,138,93,0,22,0,22,0,22,16,19,122,83,1075,341,74,75,100,76,31,28,401,177,469,224
0900186370,06000US0900186370,"Wilton town, Fairfield County, Connecticut",5675,275,5261,290,442,138,525,113,293,92,1989,248,2012,212,414,138,91,50,0,19,0,19,20,22,29,30,42,30,323,134,0,19,7,9,17,27,135,78,164,84
0900302060,06000US0900302060,"Avon town, Hartford County, Connecticut",4493,267,4058,268,490,201,245,93,131,73,1794,269,1398,200,435,188,50,47,11,18,0,19,0,19,0,19,39,43,385,181,0,19,11,18,0,19,193,168,181,79
