GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple families:,Margin of Error; In married-couple families:,Estimate; In married-couple families: - Under 3 years,Margin of Error; In married-couple families: - Under 3 years,Estimate; In married-couple families: - 3 and 4 years,Margin of Error; In married-couple families: - 3 and 4 years,Estimate; In married-couple families: - 5 years,Margin of Error; In married-couple families: - 5 years,Estimate; In married-couple families: - 6 to 11 years,Margin of Error; In married-couple families: - 6 to 11 years,Estimate; In married-couple families: - 12 to 17 years,Margin of Error; In married-couple families: - 12 to 17 years,Estimate; In other families:,Margin of Error; In other families:,"Estimate; In other families: - Male householder, no wife present:","Margin of Error; In other families: - Male householder, no wife present:","Estimate; In other families: - Male householder, no wife present: - Under 3 years","Margin of Error; In other families: - Male householder, no wife present: - Under 3 years","Estimate; In other families: - Male householder, no wife present: - 3 and 4 years","Margin of Error; In other families: - Male householder, no wife present: - 3 and 4 years","Estimate; In other families: - Male householder, no wife present: - 5 years","Margin of Error; In other families: - Male householder, no wife present: - 5 years","Estimate; In other families: - Male householder, no wife present: - 6 to 11 years","Margin of Error; In other families: - Male householder, no wife present: - 6 to 11 years","Estimate; In other families: - Male householder, no wife present: - 12 to 17 years","Margin of Error; In other families: - Male householder, no wife present: - 12 to 17 years","Estimate; In other families: - Female householder, no husband present:","Margin of Error; In other families: - Female householder, no husband present:","Estimate; In other families: - Female householder, no husband present: - Under 3 years","Margin of Error; In other families: - Female householder, no husband present: - Under 3 years","Estimate; In other families: - Female householder, no husband present: - 3 and 4 years","Margin of Error; In other families: - Female householder, no husband present: - 3 and 4 years","Estimate; In other families: - Female householder, no husband present: - 5 years","Margin of Error; In other families: - Female householder, no husband present: - 5 years","Estimate; In other families: - Female householder, no husband present: - 6 to 11 years","Margin of Error; In other families: - Female householder, no husband present: - 6 to 11 years","Estimate; In other families: - Female householder, no husband present: - 12 to 17 years","Margin of Error; In other families: - Female householder, no husband present: - 12 to 17 years"
0400000US09,09,Connecticut,758389,1922,552091,4084,80449,1410,58473,1261,30303,1192,190741,2483,192125,2357,206298,3679,36288,1727,5567,609,3479,446,2080,424,10983,741,14179,966,170010,3371,19785,1033,16167,917,7903,707,55550,2002,70605,1880
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4117,360,3372,363,575,166,385,122,143,62,1284,258,985,196,745,227,210,140,0,123,0,123,75,118,27,30,108,75,535,177,72,61,24,30,21,26,203,106,215,128
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",32058,1231,15499,1008,2509,361,1943,277,833,218,5140,624,5074,511,16559,1043,2184,539,410,174,229,128,177,111,732,236,636,233,14375,1032,2055,353,1403,269,808,228,5142,653,4967,579
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3823,220,3379,239,415,127,342,117,187,86,1054,231,1381,204,444,149,144,90,18,19,9,14,0,123,44,51,73,56,300,112,18,21,0,123,13,20,57,47,212,99
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",15400,753,11541,767,2174,355,1590,247,650,198,3666,456,3461,493,3859,637,899,272,405,183,50,69,83,86,194,110,167,99,2960,579,419,196,389,162,113,86,1019,284,1020,307
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7391,205,6599,261,749,147,726,169,448,120,2480,287,2196,277,792,248,64,51,6,9,0,123,0,123,25,41,33,30,728,248,12,18,0,123,29,38,281,145,406,180
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2168,107,1978,127,202,68,80,43,212,76,743,146,741,154,190,152,30,45,15,23,0,123,0,123,15,22,0,123,160,150,0,123,0,123,0,123,46,51,114,115
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14189,470,12701,497,1981,288,1483,184,743,172,4414,382,4080,385,1488,322,322,159,15,24,15,20,15,23,199,128,78,44,1166,286,91,61,75,57,73,54,376,151,551,159
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",16007,510,13837,526,1968,257,1483,238,623,147,5079,429,4684,347,2170,444,496,198,43,34,73,67,33,54,163,104,184,90,1674,409,51,47,106,117,8,15,406,146,1103,305
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",4962,209,4495,269,441,149,414,137,268,82,1755,207,1617,233,467,180,148,102,24,39,13,20,0,123,72,60,39,38,319,137,13,20,31,33,12,21,81,72,182,88
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",6345,282,5860,313,573,140,570,136,358,100,2085,266,2274,269,485,204,103,110,0,123,0,123,0,123,50,69,53,49,382,186,0,123,9,14,0,123,78,46,295,167
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3507,224,3254,248,184,85,223,70,235,91,1429,194,1183,179,253,115,68,58,0,123,20,22,0,123,28,32,20,23,185,98,28,34,10,16,35,25,22,25,90,82
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",7144,326,6543,351,603,147,553,117,335,112,2341,241,2711,293,601,228,165,108,50,37,26,26,0,123,34,31,55,67,436,195,63,52,8,13,0,123,88,57,277,146
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",16503,846,12097,674,2821,323,1551,283,523,148,4022,461,3180,390,4406,721,699,242,115,91,83,68,28,28,200,98,273,139,3707,730,256,112,487,214,207,120,1504,374,1253,301
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2331,130,2091,161,164,76,241,83,187,101,719,158,780,152,240,121,47,51,0,123,0,123,0,123,24,38,23,34,193,110,0,123,0,123,17,29,22,26,154,90
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",7278,243,6616,284,677,140,622,126,360,114,2380,259,2577,250,662,250,57,48,0,123,0,123,0,123,20,31,37,35,605,243,13,20,44,51,0,123,79,55,469,229
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",7911,376,6628,344,950,198,726,174,291,118,2051,246,2610,277,1283,302,473,219,13,21,0,123,59,74,161,112,240,134,810,254,55,44,106,99,13,21,154,71,482,197
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",822,105,750,107,67,51,62,52,9,14,421,108,191,80,72,67,12,17,0,123,0,123,0,123,0,123,12,17,60,63,0,123,0,123,14,21,23,27,23,36
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",23628,790,18635,989,3497,376,2224,314,1000,212,6335,571,5579,483,4993,706,1069,372,292,168,208,146,67,63,196,111,306,160,3924,605,599,239,461,200,121,100,1023,325,1720,366
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",10198,467,8210,483,1484,291,760,149,522,149,2659,351,2785,361,1988,372,344,156,43,40,15,17,12,19,107,65,167,145,1644,375,70,62,160,88,82,64,562,188,770,238
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",8782,383,8048,422,1052,200,841,171,264,68,3002,320,2889,316,734,182,175,76,42,49,9,14,0,123,10,16,114,56,559,176,58,66,45,53,0,123,177,89,279,118
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3345,133,3093,137,295,111,232,74,192,87,1253,174,1121,170,252,127,141,97,0,123,0,123,0,123,14,20,127,97,111,76,0,123,14,22,0,123,31,35,66,58
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",7799,239,7002,335,789,164,647,134,478,134,2656,285,2432,307,797,250,129,68,0,123,18,28,0,123,42,50,69,52,668,246,50,43,65,52,61,69,233,144,259,106
