GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple families:,Margin of Error; In married-couple families:,Estimate; In married-couple families: - Under 3 years,Margin of Error; In married-couple families: - Under 3 years,Estimate; In married-couple families: - 3 and 4 years,Margin of Error; In married-couple families: - 3 and 4 years,Estimate; In married-couple families: - 5 years,Margin of Error; In married-couple families: - 5 years,Estimate; In married-couple families: - 6 to 11 years,Margin of Error; In married-couple families: - 6 to 11 years,Estimate; In married-couple families: - 12 to 17 years,Margin of Error; In married-couple families: - 12 to 17 years,Estimate; In other families:,Margin of Error; In other families:,"Estimate; In other families: - Male householder, no wife present:","Margin of Error; In other families: - Male householder, no wife present:","Estimate; In other families: - Male householder, no wife present: - Under 3 years","Margin of Error; In other families: - Male householder, no wife present: - Under 3 years","Estimate; In other families: - Male householder, no wife present: - 3 and 4 years","Margin of Error; In other families: - Male householder, no wife present: - 3 and 4 years","Estimate; In other families: - Male householder, no wife present: - 5 years","Margin of Error; In other families: - Male householder, no wife present: - 5 years","Estimate; In other families: - Male householder, no wife present: - 6 to 11 years","Margin of Error; In other families: - Male householder, no wife present: - 6 to 11 years","Estimate; In other families: - Male householder, no wife present: - 12 to 17 years","Margin of Error; In other families: - Male householder, no wife present: - 12 to 17 years","Estimate; In other families: - Female householder, no husband present:","Margin of Error; In other families: - Female householder, no husband present:","Estimate; In other families: - Female householder, no husband present: - Under 3 years","Margin of Error; In other families: - Female householder, no husband present: - Under 3 years","Estimate; In other families: - Female householder, no husband present: - 3 and 4 years","Margin of Error; In other families: - Female householder, no husband present: - 3 and 4 years","Estimate; In other families: - Female householder, no husband present: - 5 years","Margin of Error; In other families: - Female householder, no husband present: - 5 years","Estimate; In other families: - Female householder, no husband present: - 6 to 11 years","Margin of Error; In other families: - Female householder, no husband present: - 6 to 11 years","Estimate; In other families: - Female householder, no husband present: - 12 to 17 years","Margin of Error; In other families: - Female householder, no husband present: - 12 to 17 years"
0400000US09,09,Connecticut,735343,2047,523961,3863,72555,1467,54292,1185,27956,1104,182308,2390,186850,2352,211382,3566,38659,2259,5637,553,3765,529,1757,270,12002,1081,15498,1309,172723,3370,19960,971,18088,998,8819,680,56565,1654,69291,2162
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",4115,285,3350,307,579,166,278,92,232,113,1248,218,1013,172,765,226,135,90,0,19,0,19,0,19,41,32,94,65,630,204,46,61,81,71,0,19,98,64,405,133
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",31093,1115,15198,1092,2513,353,1922,317,1305,268,5166,563,4292,574,15895,1129,2083,585,390,153,175,99,136,82,923,314,459,182,13812,1077,1580,333,1581,293,888,230,4599,490,5164,535
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",3709,307,3203,326,371,156,357,150,112,61,1104,221,1259,180,506,221,76,56,11,17,0,19,0,19,27,42,38,31,430,216,33,38,27,30,16,25,92,72,262,175
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",14611,722,10350,730,1999,353,963,176,603,148,3578,438,3207,421,4261,518,1026,333,401,190,154,109,0,28,231,128,240,179,3235,512,401,175,357,160,167,120,966,266,1344,329
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7344,264,6751,284,741,138,750,130,433,96,2437,285,2390,276,593,189,73,57,6,14,0,22,0,22,14,22,53,45,520,183,0,22,9,15,27,30,149,73,335,141
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2026,157,1755,160,239,87,45,27,59,35,790,140,622,152,271,135,150,105,17,19,0,17,30,44,53,48,50,42,121,79,0,17,4,8,5,8,34,31,78,61
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",15122,477,13304,546,1749,266,1497,193,754,155,4684,364,4620,404,1818,379,379,154,4,6,0,28,20,31,175,95,180,92,1439,336,125,93,63,38,33,30,514,164,704,199
